// Time;RH1;Temp1
22 giu 2025, 18:00:00;59,31;27,10
22 giu 2025, 19:00:00;59,36;27,12
22 giu 2025, 20:00:00;59,80;27,12
22 giu 2025, 21:00:00;59,95;27,13
22 giu 2025, 22:00:00;59,94;27,13
22 giu 2025, 23:00:00;59,96;27,13
23 giu 2025, 00:00:00;59,89;27,12
23 giu 2025, 01:00:00;59,83;27,10
23 giu 2025, 02:00:00;59,77;27,10
23 giu 2025, 03:00:00;59,72;27,08
23 giu 2025, 04:00:00;59,61;27,07
23 giu 2025, 05:00:00;59,39;27,03
23 giu 2025, 06:00:00;59,09;27,01
23 giu 2025, 07:00:00;59,09;26,99
23 giu 2025, 08:00:00;59,35;27,00
23 giu 2025, 09:00:00;59,71;27,09
23 giu 2025, 10:00:00;60,21;27,33
23 giu 2025, 11:00:00;62,16;27,52
23 giu 2025, 12:00:00;63,53;27,67
23 giu 2025, 13:00:00;64,50;27,75
23 giu 2025, 14:00:00;64,18;27,73
23 giu 2025, 15:00:00;64,48;27,79
23 giu 2025, 16:00:00;64,38;27,86
23 giu 2025, 17:00:00;64,43;27,83
23 giu 2025, 18:00:00;64,63;27,66
23 giu 2025, 19:00:00;64,90;27,51
23 giu 2025, 20:00:00;65,05;27,44
23 giu 2025, 21:00:00;65,18;27,37
23 giu 2025, 22:00:00;65,39;27,31
23 giu 2025, 23:00:00;65,61;27,26
24 giu 2025, 00:00:00;65,76;27,20
24 giu 2025, 01:00:00;65,76;27,17
24 giu 2025, 02:00:00;65,61;27,10
24 giu 2025, 03:00:00;65,47;27,05
24 giu 2025, 04:00:00;65,33;27,02
24 giu 2025, 05:00:00;65,09;26,99
24 giu 2025, 06:00:00;64,81;27,00
24 giu 2025, 07:00:00;64,56;27,02
24 giu 2025, 08:00:00;64,39;27,02
24 giu 2025, 09:00:00;64,13;27,02
24 giu 2025, 10:00:00;63,75;27,01
24 giu 2025, 11:00:00;63,75;27,04
24 giu 2025, 12:00:00;63,91;27,09
24 giu 2025, 13:00:00;64,69;27,16
24 giu 2025, 14:00:00;65,86;27,22
24 giu 2025, 15:00:00;66,66;27,26
24 giu 2025, 16:00:00;67,28;27,27
24 giu 2025, 17:00:00;67,61;27,29
24 giu 2025, 18:00:00;67,82;27,29
24 giu 2025, 19:00:00;68,10;27,28
24 giu 2025, 20:00:00;67,94;27,28
24 giu 2025, 21:00:00;67,97;27,26
24 giu 2025, 22:00:00;67,89;27,25
24 giu 2025, 23:00:00;67,78;27,26
25 giu 2025, 00:00:00;67,72;27,26
25 giu 2025, 01:00:00;67,80;27,25
25 giu 2025, 02:00:00;67,78;27,25
25 giu 2025, 03:00:00;67,73;27,24
25 giu 2025, 04:00:00;67,56;27,22
25 giu 2025, 05:00:00;67,40;27,19
25 giu 2025, 06:00:00;66,87;27,15
25 giu 2025, 07:00:00;66,92;27,04
25 giu 2025, 08:00:00;66,74;26,99
25 giu 2025, 09:00:00;66,09;27,06
25 giu 2025, 10:00:00;66,54;27,32
25 giu 2025, 11:00:00;66,61;27,52
25 giu 2025, 12:00:00;66,92;27,65
25 giu 2025, 13:00:00;66,23;27,67
25 giu 2025, 14:00:00;66,04;27,63
25 giu 2025, 15:00:00;66,29;27,60
25 giu 2025, 16:00:00;66,24;27,62
25 giu 2025, 17:00:00;66,22;27,63
25 giu 2025, 18:00:00;66,69;27,51
25 giu 2025, 19:00:00;66,49;27,40
25 giu 2025, 20:00:00;66,65;27,33
25 giu 2025, 21:00:00;66,81;27,30
25 giu 2025, 22:00:00;66,87;27,27
25 giu 2025, 23:00:00;66,89;27,25
26 giu 2025, 00:00:00;66,76;27,26
26 giu 2025, 01:00:00;66,42;27,21
26 giu 2025, 02:00:00;66,12;27,19
26 giu 2025, 03:00:00;65,84;27,16
26 giu 2025, 04:00:00;65,51;27,13
26 giu 2025, 05:00:00;65,28;27,12
26 giu 2025, 06:00:00;64,90;27,11
26 giu 2025, 07:00:00;63,69;27,02
26 giu 2025, 08:00:00;65,81;27,00
26 giu 2025, 09:00:00;67,01;27,09
26 giu 2025, 10:00:00;67,53;27,21
26 giu 2025, 11:00:00;69,01;27,26
26 giu 2025, 12:00:00;69,95;27,40
26 giu 2025, 13:00:00;70,89;27,54
26 giu 2025, 14:00:00;70,83;27,59
26 giu 2025, 15:00:00;71,86;27,64
26 giu 2025, 16:00:00;72,05;27,66
26 giu 2025, 17:00:00;72,11;27,64
26 giu 2025, 18:00:00;71,86;27,62
26 giu 2025, 19:00:00;71,37;27,47
26 giu 2025, 20:00:00;71,35;27,43
26 giu 2025, 21:00:00;71,33;27,38
26 giu 2025, 22:00:00;71,41;27,38
26 giu 2025, 23:00:00;71,39;27,36
27 giu 2025, 00:00:00;71,32;27,36
27 giu 2025, 01:00:00;71,26;27,33
27 giu 2025, 02:00:00;71,07;27,30
27 giu 2025, 03:00:00;70,82;27,28
27 giu 2025, 04:00:00;70,61;27,25
27 giu 2025, 05:00:00;70,41;27,24
27 giu 2025, 06:00:00;69,78;27,21
27 giu 2025, 07:00:00;66,52;27,10
27 giu 2025, 08:00:00;63,92;27,03
27 giu 2025, 09:00:00;60,53;27,07
